  id   |        identifier        | verse_num | label  |       span_text       | start_char | end_char |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
-------+--------------------------+-----------+--------+-----------------------+------------+----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 29546 | dhp.04.budd.html         |         1 | GPE    | Yama                  |         49 |       53 | 44. Who shall overcome this earth, this realm of Yama and this sphere of men and gods? Who shall bring to perfection the well-taught path of wisdom as an expert garland-maker would his floral design? 45. A striver-on-the path shall overcome this earth, this realm of Yama and this sphere of men and gods. The striver-on-the-path shall bring to perfection the well-taught path of wisdom, as an expert garland-maker would his floral design. [7] 46. Realizing that this body is like froth, penetrating its mirage-like nature, and plucking out Mara's flower-tipped arrows of sensuality, go beyond sight of the King of Death! 47. As a mighty flood sweeps away the sleeping village, so death carries away the person of distracted mind who only plucks the flowers (of pleasure). 48. The Destroyer brings under his sway the person of distracted mind who, insatiate in sense desires, only plucks the flowers (of pleasure). 49. As a bee gathers honey from the flower without injuring its color or fragrance, even so the sage goes on his alms-round in the village. [8] 50. Let none find fault with others; let none see the omissions and commissions of others. But let one see one's own acts, done and undone. 51. Like a beautiful flower full of color but without fragrance, even so, fruitless are the fair words of one who does not practice them. 52. Like a beautiful flower full of color and also fragrant, even so, fruitful are the fair words of one who practices them. 53. As from a great heap of flowers many garlands can be made, even so should many good deeds be done by one born a mortal. 54. Not the sweet smell of flowers, not even the fragrance of sandal, tagara, or jasmine blows against the wind. But the fragrance of the virtuous blows against the wind. Truly the virtuous man pervades all directions with the fragrance of his virtue. [9] 55. Of all the fragrances — sandal, tagara, blue lotus and jasmine — the fragrance of virtue is the sweetest. 56. Faint is the fragrance of tagara and sandal, but excellent is the fragrance of the virtuous, wafting even amongst the gods. 57. Mara never finds the path of the truly virtuous, who abide in heedfulness and are freed by perfect knowledge. 58. Upon a heap of rubbish in the road-side ditch blooms a lotus, fragrant and pleasing. 59. Even so, on the rubbish heap of blinded mortals the disciple of the Supremely Enlightened One shines resplendent in wisdom.
 29546 | dhp.04.budd.html         |         1 | GPE    | Yama                  |        267 |      271 | 44. Who shall overcome this earth, this realm of Yama and this sphere of men and gods? Who shall bring to perfection the well-taught path of wisdom as an expert garland-maker would his floral design? 45. A striver-on-the path shall overcome this earth, this realm of Yama and this sphere of men and gods. The striver-on-the-path shall bring to perfection the well-taught path of wisdom, as an expert garland-maker would his floral design. [7] 46. Realizing that this body is like froth, penetrating its mirage-like nature, and plucking out Mara's flower-tipped arrows of sensuality, go beyond sight of the King of Death! 47. As a mighty flood sweeps away the sleeping village, so death carries away the person of distracted mind who only plucks the flowers (of pleasure). 48. The Destroyer brings under his sway the person of distracted mind who, insatiate in sense desires, only plucks the flowers (of pleasure). 49. As a bee gathers honey from the flower without injuring its color or fragrance, even so the sage goes on his alms-round in the village. [8] 50. Let none find fault with others; let none see the omissions and commissions of others. But let one see one's own acts, done and undone. 51. Like a beautiful flower full of color but without fragrance, even so, fruitless are the fair words of one who does not practice them. 52. Like a beautiful flower full of color and also fragrant, even so, fruitful are the fair words of one who practices them. 53. As from a great heap of flowers many garlands can be made, even so should many good deeds be done by one born a mortal. 54. Not the sweet smell of flowers, not even the fragrance of sandal, tagara, or jasmine blows against the wind. But the fragrance of the virtuous blows against the wind. Truly the virtuous man pervades all directions with the fragrance of his virtue. [9] 55. Of all the fragrances — sandal, tagara, blue lotus and jasmine — the fragrance of virtue is the sweetest. 56. Faint is the fragrance of tagara and sandal, but excellent is the fragrance of the virtuous, wafting even amongst the gods. 57. Mara never finds the path of the truly virtuous, who abide in heedfulness and are freed by perfect knowledge. 58. Upon a heap of rubbish in the road-side ditch blooms a lotus, fragrant and pleasing. 59. Even so, on the rubbish heap of blinded mortals the disciple of the Supremely Enlightened One shines resplendent in wisdom.
 29547 | dhp.04.budd.html         |        44 | GPE    | Yama                  |         49 |       53 | 44. Who shall overcome this earth, this realm of Yama and this sphere of men and gods? Who shall bring to perfection the well-taught path of wisdom as an expert garland-maker would his floral design?
 29548 | dhp.04.budd.html         |        45 | GPE    | Yama                  |         67 |       71 | 45. A striver-on-the path shall overcome this earth, this realm of Yama and this sphere of men and gods. The striver-on-the-path shall bring to perfection the well-taught path of wisdom, as an expert garland-maker would his floral design. [7]
 29218 | sn54.013.than.html       |        10 | LOC    | ... &                 |        315 |      320 | " [1] Now, on whatever occasion a monk breathing in long discerns that he is breathing in long; or breathing out long, discerns that he is breathing out long; or breathing in short, discerns that he is breathing in short; or breathing out short, discerns that he is breathing out short; trains himself to breathe in... &... out sensitive to the entire body; trains himself to breathe in... &... out calming the bodily processes: On that occasion the monk remains focused on the body in & of itself — ardent, alert, & mindful — putting aside greed & distress with reference to the world. I tell you that this — the in-&-out breath — is classed as a body among bodies, which is why the monk on that occasion remains focused on the body in & of itself — ardent, alert, & mindful — putting aside greed & distress with reference to the world.
 29218 | sn54.013.than.html       |        10 | LOC    | ... &                 |        386 |      391 | " [1] Now, on whatever occasion a monk breathing in long discerns that he is breathing in long; or breathing out long, discerns that he is breathing out long; or breathing in short, discerns that he is breathing in short; or breathing out short, discerns that he is breathing out short; trains himself to breathe in... &... out sensitive to the entire body; trains himself to breathe in... &... out calming the bodily processes: On that occasion the monk remains focused on the body in & of itself — ardent, alert, & mindful — putting aside greed & distress with reference to the world. I tell you that this — the in-&-out breath — is classed as a body among bodies, which is why the monk on that occasion remains focused on the body in & of itself — ardent, alert, & mindful — putting aside greed & distress with reference to the world.
 29219 | sn54.013.than.html       |        11 | LOC    | ... &                 |         62 |       67 | " [2] On whatever occasion a monk trains himself to breathe in... &... out sensitive to rapture; trains himself to breathe in... &... out sensitive to pleasure; trains himself to breathe in... &... out sensitive to mental processes; trains himself to breathe in... &... out calming mental processes: On that occasion the monk remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world. I tell you that this — close attention to in-&-out breaths — is classed as a feeling among feelings, which is why the monk on that occasion remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world.
 29219 | sn54.013.than.html       |        11 | LOC    | ... &                 |        125 |      130 | " [2] On whatever occasion a monk trains himself to breathe in... &... out sensitive to rapture; trains himself to breathe in... &... out sensitive to pleasure; trains himself to breathe in... &... out sensitive to mental processes; trains himself to breathe in... &... out calming mental processes: On that occasion the monk remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world. I tell you that this — close attention to in-&-out breaths — is classed as a feeling among feelings, which is why the monk on that occasion remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world.
 29219 | sn54.013.than.html       |        11 | LOC    | ... &                 |        189 |      194 | " [2] On whatever occasion a monk trains himself to breathe in... &... out sensitive to rapture; trains himself to breathe in... &... out sensitive to pleasure; trains himself to breathe in... &... out sensitive to mental processes; trains himself to breathe in... &... out calming mental processes: On that occasion the monk remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world. I tell you that this — close attention to in-&-out breaths — is classed as a feeling among feelings, which is why the monk on that occasion remains focused on feelings in & of themselves — ardent, alert, & mindful — putting aside greed & distress with reference to the world.
